claim_id,status,provisional_claim,evidence_required,current_evidence,allowed_now,notes
C001,OBSERVED,"At the 2026-07-13 audit, 1653 of 1653 present A.M.Y output files matched their stored SHA-256.",released audit script; case-level scan output; snapshot identity,"[{""locator"":""line_anchor:| F01 | Historical A.M.Y output hashes are internally consistent | 1,653/1,653 `output.txt` SHA-256 values matched `tool.output_hash`; no missing outputs | Strong evidence of current byte consistency, but not signer authenticity |"",""path"":""audit/BASELINE_AUDIT_2026-07-13.md"",""sha256"":""09cc14d42104eaa3ced9faeb2ae98ed7cc9e20f6b77262f92c3295d746cefce1""}]",yes,Byte consistency only; no signer authenticity or historical origin claim
C002,OBSERVED,Three Atlas manifest signatures verified under locally available Ed25519 public keys.,signature report; manifest bytes; public keys; verifier source hash,"[{""locator"":""line_anchor:| F05 | Current Ed25519 manifest signatures are cryptographically valid under local keys | 3/3 manifests report one valid signature and no signature errors | This validates signed manifest bytes only |"",""path"":""audit/BASELINE_AUDIT_2026-07-13.md"",""sha256"":""09cc14d42104eaa3ced9faeb2ae98ed7cc9e20f6b77262f92c3295d746cefce1""}]",yes,External ownership of the keys is not established
C003,OBSERVED,One signed Atlas manifest referenced a model artifact whose actual SHA-256 did not match the recorded digest.,manifest; model file; independent SHA-256 recomputation,"[{""locator"":""line_anchor:| F06 | A valid signed manifest coexists with an invalid referenced artifact | `plausibility_v4_rf.pkl` expected `96620b6d...d32fe`, actual `83361476...fdf85` | Signature-only verification produces a security-relevant false positive if called “artifact valid” |"",""path"":""audit/BASELINE_AUDIT_2026-07-13.md"",""sha256"":""09cc14d42104eaa3ced9faeb2ae98ed7cc9e20f6b77262f92c3295d746cefce1""}]",yes,Shows why signature and artifact validation must be separate
C004,OBSERVED,The audited current working revision of the A.M.Y system paper had 13 digest failures in both release manifests.,working-tree bytes; both manifests; check output,"[{""locator"":""line_anchor:| F14 | A.M.Y system-paper release changed after manifest generation | Main manifest: 1,135 OK, 13 failed; payload manifest: 1,133 OK, 13 failed | That release is not currently byte-verifiable against its published manifests |"",""path"":""audit/BASELINE_AUDIT_2026-07-13.md"",""sha256"":""09cc14d42104eaa3ced9faeb2ae98ed7cc9e20f6b77262f92c3295d746cefce1""}]",yes,The committed HEAD release is separately observed to be digest-consistent; do not infer malicious tampering
C005,EXTERNAL,A digest can detect changed bytes relative to an expected digest but does not authenticate an author.,FIPS 180-4 plus digital-signature standard/overview,"[{""locator"":""line_anchor:| S01 | [NIST FIPS 180-4, Secure Hash Standard](https://csrc.nist.gov/files/pubs/fips/180-4/final/docs/fips180-4.pdf) | Defines approved secure hash algorithms used to compute message digests |"",""path"":""evidence/SOURCE_LEDGER.md"",""sha256"":""3009ee06d656e0a705d2cb3eb5cdceda9ede77a81eb68904e3d70d1945dad5ab""},{""locator"":""line_anchor:| S02 | [NIST FIPS 186-5, Digital Signature Standard](https://csrc.nist.gov/pubs/fips/186-5/final) | Digital signatures detect unauthorized modification and authenticate a signatory under the signature model |"",""path"":""evidence/SOURCE_LEDGER.md"",""sha256"":""3009ee06d656e0a705d2cb3eb5cdceda9ede77a81eb68904e3d70d1945dad5ab""},{""locator"":""line_anchor:| S03 | [NIST Digital Signatures overview](https://csrc.nist.gov/Projects/digital-signatures) | Separates signer assurance from assurance that signed information was not modified after signing |"",""path"":""evidence/SOURCE_LEDGER.md"",""sha256"":""3009ee06d656e0a705d2cb3eb5cdceda9ede77a81eb68904e3d70d1945dad5ab""}]",yes,Phrase as a distinction between mechanisms
C006,SPECIFIED,P2 and P3 reject coherent manifest substitution by an unauthorized actor across every compatible frozen case.,registered catalog; raw decisions; trust policy; analysis; reproduction,[],no,Future finite-corpus claim
C007,SPECIFIED,All four profiles accept every clean compatible package in both required environments.,registered clean controls; raw decisions; environment records,[],no,Future clean-behavior claim
C008,UNKNOWN,The proposed pipeline is secure against all attacks.,impossible unrestricted evidence,[],no,Replace with results limited to named frozen attack catalog and threat model
C009,UNKNOWN,A valid signature proves the scientific result is true.,not a valid cryptographic inference,[],no,Forbidden claim
C010,UNKNOWN,Opaque cloud model executions are bitwise reproducible.,immutable weights/backend plus deterministic serving evidence,[],no,Only exact request/response records can be released
